r1,r2,r3,r4,r5,r6,r7,r8,label
1257881,568057,178975,199945,181972,115383,43390,36882,0
1854752,113519,268822,93543,67448,34173,17356,9413,0
1242818,124031,71147,57697,26992,45679,46907,33221,0
1625167,282797,15969,23725,39526,15585,69180,14914,0
2004361,265873,32657,107954,156659,38219,16496,16084,0
469044,358196,26432,95021,46081,117285,23031,18113,0
364997,132895,19381,16679,24984,30466,68063,45953,0
2227175,782392,61120,46911,30413,44012,11056,20027,0
344336,1159783,40739,10734,34504,81615,48594,23498,0
138657,422094,270335,17247,52707,40365,36010,68000,0
2107487,216724,283318,92037,198919,269610,74085,11425,0
1883108,428501,104969,152411,75679,34515,19838,9607,0
1141258,1082621,24143,99453,42521,42241,20886,6238,0
818096,785140,442871,324842,172786,97550,55958,35367,0
1356429,449595,39834,26783,72147,17713,29198,6535,0
1181802,65007,104484,223487,15038,19053,79896,44975,0
1238147,228177,196076,18572,20977,15079,26816,10979,0
730370,482395,21743,46788,266549,52799,20236,8851,0
1424848,465654,214430,49905,18359,41223,6455,7567,0
788946,776633,211666,32521,95074,32991,37650,46598,0
1503437,134800,381757,166677,75426,229493,48771,13220,0
355483,267919,28292,86295,56551,43436,46372,34645,0
472502,613811,357149,47637,53667,78218,14581,5828,0
260382,812228,48454,56135,55856,80485,22648,16763,0
2152627,338845,117392,20233,30441,75161,71926,12149,0
653885,607245,204475,44975,45166,51001,51322,20532,0
1729075,277890,73589,77440,48744,21788,74519,40837,0
798422,395510,160955,42190,84587,60088,22673,19996,0
577529,781539,40146,62656,59861,15942,38491,36237,0
1339909,1228597,15219,490080,375894,114321,79687,142495,0
1571950,124019,135314,22343,70272,34251,14173,5480,0
1597264,537906,143132,54221,43198,58976,94453,22588,0
735660,150336,16742,233947,38443,32335,24427,10339,0
2747579,489922,31568,25967,57667,83097,65926,15687,0
1467278,518173,170937,6226,30381,46548,24174,17535,0
1293128,361268,38427,71989,56240,39781,20778,39667,0
1288781,871661,142586,84203,120745,55590,66197,10205,0
1938474,200068,31200,66472,90326,11418,73681,11752,0
72623,295249,88608,96022,56970,40631,10112,10347,0
2761666,2587991,487898,384270,90096,298711,191792,46866,0
1089831,185939,78151,77144,25154,46306,119238,44427,0
761450,221256,80742,29711,52499,25334,69764,16729,0
1976966,198985,3109,124275,29718,71229,17905,9488,0
2218176,450984,73478,73545,25141,27674,25787,5181,0
1928280,1134849,40280,15156,61496,36647,56902,15039,0
786977,730389,82674,18103,14550,17173,9082,4556,0
2314909,115505,313488,28072,17305,35407,18351,11549,0
1323486,877680,180757,45060,20293,38139,14887,6027,0
602745,715908,134349,36948,26645,77103,98009,92390,0
1121415,1978567,87841,313601,258524,154828,192605,130151,0
1407354,93645,58845,48106,72767,20898,52357,21559,0
708590,245818,36922,36061,81000,64421,88547,14922,0
2324361,550301,65422,117193,143172,42214,36980,38295,0
1033265,1226840,63147,161381,105966,45761,112536,69153,0
2412185,311756,118342,66887,23641,22840,2270,9044,0
1449672,1635876,281129,331514,938533,477951,231816,246459,0
692409,412184,9372,113495,62423,43483,17443,37448,0
2128681,502920,42120,31677,124688,58887,55218,15411,0
380605,141764,81112,92846,79319,58585,22268,21723,0
1795537,1497191,499707,420158,590535,148890,357496,288271,0
475968,913473,51490,33516,109737,52755,46945,29997,0
2080246,211119,145329,35822,36359,22340,33954,20637,0
823996,773023,34122,87627,7604,31499,36999,17899,0
1249570,984819,182824,95205,66174,49362,33493,71029,0
2440834,310611,150121,181739,138472,52945,60474,85154,0
2608373,319933,83097,88597,74937,131383,45819,25510,0
428189,476105,35466,99502,68866,43745,18331,14884,0
3363418,723858,45025,31649,51394,58829,19574,33744,0
1564270,692494,46631,163263,58438,40304,48634,38071,0
819291,484954,116897,148988,79214,34845,25740,4599,0
